Date,Cases,Deaths
2022-10-26,7149300,82176
2021-11-15,3671481,60845
2022-10-27,7149300,82176
2021-11-16,3673033,60846
2022-10-28,7149300,82176
2021-11-17,3674581,60846
2022-10-29,7149300,82176
2021-11-18,3676634,60846
2021-11-19,3677968,61081
2020-03-30,5695,72
2020-03-31,6742,85
2022-11-20,7195943,82875
2022-11-21,7195943,82875
2022-11-22,7195943,82875
2022-11-23,7195943,82875
2022-11-24,7195943,82875
2022-11-25,7195943,82875
2022-11-26,7195943,82875
2022-11-27,7195943,82875
2022-11-28,7195943,82875
2022-11-29,7195943,82875
2020-04-30,33683,1267
2020-08-30,621578,11118
2021-03-01,1910913,30998
2020-08-31,623463,11186
2021-03-02,1918092,31134
2021-03-03,1924106,31266
2021-03-04,1930224,31386
2022-12-20,7269428,83606
2021-03-05,1936199,31521
2022-12-21,7269428,83606
2021-03-06,1940889,31619
2022-12-22,7269428,83606
2021-03-07,1944987,31682
2022-12-23,7269428,83606
2021-03-08,1948299,31763
2022-12-24,7269428,83606
2021-03-09,1952725,31888
2022-12-25,7269428,83606
2022-12-26,7269428,83606
2022-12-27,7269428,83606
2022-12-28,7269428,83606
2022-12-29,7269428,83606
2020-05-30,55416,2446
2020-09-30,706508,14316
2021-04-01,2064517,33493
2020-05-31,56155,2450
2021-04-02,2071007,33585
2021-04-03,2077024,33651
2021-04-04,2081818,33673
2021-04-05,2085298,33709
2021-04-06,2090854,33779
2021-04-07,2096739,33821
2021-04-08,2104678,33905
2021-04-09,2111799,33967
2022-04-10,5864866,73555
2022-04-11,5867926,73583
2020-06-30,152426,3504
2022-04-12,5870034,73588
2021-09-01,3269502,44571
2021-05-01,2238929,35238
2021-01-01,1323307,21672
2022-04-13,5872586,73622
2021-09-02,3291225,45909
2021-05-02,2242770,35267
2021-01-02,1354825,21889
2022-04-14,5875505,73656
2021-09-03,3308916,46324
2021-05-03,2245845,35306
2021-01-03,1365428,21986
2022-04-15,5878404,73689
2021-09-04,3308916,46324
2021-05-04,2249527,35398
2021-01-04,1376684,22089
2022-04-16,5878404,73689
2021-09-05,3308916,46324
2021-05-05,2253921,35477
2021-01-05,1392115,22187
2022-04-17,5878404,73689
2021-09-06,3308916,46324
2021-05-06,2258425,35548
2021-01-06,1409898,22316
2022-04-18,5885218,73738
2021-09-07,3364998,46973
2021-05-07,2262590,35634
2021-01-07,1429714,22480
2022-04-19,5888264,73738
2021-09-08,3378772,46977
2021-05-08,2266567,35699
2021-01-08,1449244,22665
2021-09-09,3391158,48273
2021-05-09,2269798,35730
2021-01-09,1464689,22803
2020-11-10,852166,17247
2020-11-11,858004,17299
2020-11-12,863611,17371
2020-11-13,870544,17444
2020-11-14,875088,17488
2020-11-15,885193,17517
2020-11-16,889856,17558
2022-05-10,5978814,74113
2022-01-10,4759073,62810
2020-11-17,897315,17643
2022-05-11,5986538,74133
2022-01-11,4806782,62813
2020-07-30,461371,6585
2020-11-18,905240,17730
2022-05-12,5994350,74158
2022-01-12,4878524,62819
2021-06-01,2326747,36868
2021-02-01,1727099,26684
2020-07-31,470378,6842
2020-11-19,914325,17809
2022-05-13,5997998,74178
2022-01-13,4933518,63081
2021-06-02,2327981,36923
2021-02-02,1737632,26821
2022-05-14,5997998,74178
2022-01-14,4992579,63158
2021-06-03,2329859,36972
2021-02-03,1744611,27018
2022-05-15,5997998,74178
2022-01-15,5041918,63158
2021-06-04,2289332,36985
2021-02-04,1752322,27246
2022-05-16,6021780,74239
2022-01-16,5041918,63158
2021-06-05,2289332,36985
2021-02-05,1763865,27456
2022-05-17,6030141,74241
2022-01-17,5041918,63158
2021-06-06,2289332,36985
2021-02-06,1771351,27598
2022-05-18,6039475,74272
2022-01-18,5153539,63455
2021-06-07,2294049,37025
2021-02-07,1777975,27695
2022-05-19,6049740,74295
2022-01-19,5196718,63458
2021-06-08,2295233,37025
2021-02-08,1783712,27814
2021-06-09,2296823,37161
2021-02-09,1790735,28047
2020-12-10,1094689,19590
2020-12-11,1106388,19713
2020-12-12,1116965,19784
2020-12-13,1125923,19865
2020-12-14,1134375,20002
2020-12-15,1143786,20081
2023-01-20,7400419,84927
2020-12-16,1155327,20203
2023-01-21,7400419,84927
2022-06-10,6271284,74852
2022-02-10,5723066,67322
2020-12-17,1168475,20304
2023-01-22,7400419,84927
2022-06-11,6282014,74886
2022-02-11,5732856,67572
2020-12-18,1181475,20400
2023-01-23,7400419,84927
2022-06-12,6282014,74886
2022-02-12,5741771,67572
2021-07-01,2331916,37913
2020-12-19,1193157,20472
2023-01-24,7400419,84927
2022-06-13,6297767,74948
2022-02-13,5741771,67572
2021-07-02,2337613,37985
2023-01-25,7400419,84927
2022-06-14,6307534,74953
2022-02-14,5751104,67910
2021-07-03,2337613,37985
2023-01-26,7400419,84927
2022-06-15,6320890,75023
2022-02-15,5757122,67911
2021-07-04,2337613,37985
2023-01-27,7400419,84927
2022-06-16,6333646,75087
2022-02-16,5763580,67914
2021-07-05,2337613,37985
2023-01-28,7400419,84927
2022-06-17,6345663,75096
2022-02-17,5769916,68572
2021-07-06,2337613,37985
2023-01-29,7400419,84927
2022-06-18,6345663,75096
2022-02-18,5775241,68902
2021-07-07,2346819,37985
2022-06-19,6345663,75096
2022-02-19,5780682,68902
2021-07-08,2350730,38097
2021-07-09,2361360,38157
2021-12-20,3766552,62264
2021-12-21,3779467,62264
2021-12-22,3799661,62264
2021-12-23,3832530,62347
2021-12-24,3864213,62347
2021-12-25,3864213,62347
2021-12-26,3864213,62347
2023-02-20,7473371,86294
2021-12-27,3936170,62389
2023-02-21,7473371,86294
2022-07-10,6561833,76193
2022-03-10,5823350,71474
2021-12-28,3965229,62390
2023-02-22,7473371,86294
2022-07-11,6590900,76389
2022-03-11,5824728,71860
2021-12-29,4012152,62390
2023-02-23,7473371,86294
2022-07-12,6602374,76404
2022-03-12,5824728,71860
2021-08-01,2590699,39079
2023-02-24,7473371,86294
